
Solution locations and strike times
1   (6.770000,4.750000) 00:04:50.00000
2   (6.770000,2.420000) 00:05:19.91247
3   (5.770000,2.420000) 00:05:45.58261
4   (7.770000,2.440000) 00:06:11.51929
5   (3.150000,3.600000) 01:20:47.00000
6   (3.150000,1.190000) 01:21:13.75196
7   (3.150000,2.350000) 01:21:47.70813
8   (4.800000,2.350000) 01:22:25.86464
9   (4.800000,1.190000) 01:22:54.58695
10  (4.800000,3.600000) 01:23:30.84920
11  (5.420000,5.470000) 02:13:43.00000
12  (4.360000,4.290000) 02:14:08.42812
13  (5.450000,3.140000) 02:14:38.89622
14  (6.480000,4.300000) 02:15:07.78305
15  (6.160000,7.400000) 03:00:32.00000
16  (6.170000,5.030000) 03:01:12.19789
17  (7.790000,5.620000) 03:01:35.64531
18  (6.180000,6.220000) 03:02:06.23115
19  (7.790000,7.400000) 03:02:35.93852
20  (5.540000,5.090000) 04:06:26.00000
21  (4.160000,5.530000) 04:06:51.55435
22  (5.540000,6.520000) 04:07:20.17681
23  (4.160000,7.150000) 04:07:50.05226
24  (7.820000,4.320000) 05:14:17.00000
25  (7.820000,1.910000) 05:14:44.58547
26  (7.820000,3.070000) 05:15:21.73500
27  (9.470000,3.070000) 05:15:54.54467
28  (9.470000,1.910000) 05:16:36.09109
29  (9.470000,4.320000) 05:17:13.68734
30  (4.640000,2.950000) 06:26:07.00000
31  (5.580000,0.610000) 06:26:33.06415
32  (6.500000,2.950000) 06:27:10.14823
33  (6.070000,1.900000) 06:27:38.92112
34  (5.070000,1.900000) 06:28:11.48048
35  (6.470000,5.710000) 07:25:40.00000
36  (6.470000,3.290000) 07:26:06.07198
37  (7.490000,5.710000) 07:26:32.41355
38  (8.540000,3.290000) 07:27:07.78070
39  (8.540000,5.710000) 07:27:46.84308
40  (2.890000,5.160000) 08:18:02.00000
41  (2.890000,2.740000) 08:18:33.30674
42  (3.910000,5.160000) 08:19:10.30093
43  (4.960000,2.740000) 08:19:40.26321
44  (4.960000,5.160000) 08:20:04.06994
45  (7.440000,3.830000) 09:21:40.00000
46  (5.770000,3.830000) 09:22:08.72003
47  (5.770000,2.690000) 09:22:30.54341
48  (7.280000,2.690000) 09:22:56.36494
49  (5.770000,2.680000) 09:23:29.00935
50  (5.770000,1.610000) 09:23:54.87183
51  (7.440000,1.610000) 09:24:23.24938
52  (6.860000,4.460000) 10:00:02.00000
53  (6.870000,2.090000) 10:00:32.12811
54  (8.490000,2.680000) 10:01:05.77042
55  (6.880000,3.280000) 10:01:42.01723
56  (8.490000,4.460000) 10:02:08.28565
